LAST SEEN           TYPE      REASON                              OBJECT                                                             MESSAGE
23m                 Warning   PossibleMemoryBackedVolumesOnDisk   Node/minikube                                                      The tmpfs noswap option is not supported. Memory-backed volumes (e.g. secrets, emptyDirs, etc.) might be swapped to disk and should no longer be considered secure.
23m                 Normal    NodeHasSufficientPID                Node/minikube                                                      Node minikube status is now: NodeHasSufficientPID
23m                 Normal    NodeHasNoDiskPressure               Node/minikube                                                      Node minikube status is now: NodeHasNoDiskPressure
23m                 Normal    NodeHasSufficientMemory             Node/minikube                                                      Node minikube status is now: NodeHasSufficientMemory
23m                 Normal    NodeAllocatableEnforced             Node/minikube                                                      Updated Node Allocatable limit across pods
23m                 Warning   CgroupV1                            Node/minikube                                                      Cgroup v1 support is in maintenance mode, please migrate to Cgroup v2.
23m                 Normal    Starting                            Node/minikube                                                      Starting kubelet.
23m                 Normal    RegisteredNode                      Node/minikube                                                      Node minikube event: Registered Node minikube in Controller
23m                 Normal    Starting                            Node/minikube                                                      
22m                 Normal    SuccessfulCreate                    Job/prometheus-operator-kube-p-admission-create                    Created pod: prometheus-operator-kube-p-admission-create-rkpsd
22m                 Normal    Scheduled                           Pod/prometheus-operator-kube-p-admission-create-rkpsd              Successfully assigned default/prometheus-operator-kube-p-admission-create-rkpsd to minikube
22m                 Normal    Pulling                             Pod/prometheus-operator-kube-p-admission-create-rkpsd              Pulling image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v20221220-controller-v1.5.1-58-g787ea74b6"
22m                 Normal    Pulled                              Pod/prometheus-operator-kube-p-admission-create-rkpsd              Successfully pulled image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v20221220-controller-v1.5.1-58-g787ea74b6" in 19.916s (19.916s including waiting). Image size: 46197903 bytes.
22m                 Normal    Created                             Pod/prometheus-operator-kube-p-admission-create-rkpsd              Created container create
22m                 Normal    Started                             Pod/prometheus-operator-kube-p-admission-create-rkpsd              Started container create
22m                 Normal    Completed                           Job/prometheus-operator-kube-p-admission-create                    Job completed
22m                 Normal    Scheduled                           Pod/prometheus-operator-kube-state-metrics-7d47f9d455-jrm7l        Successfully assigned default/prometheus-operator-kube-state-metrics-7d47f9d455-jrm7l to minikube
22m                 Normal    Scheduled                           Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Successfully assigned default/prometheus-operator-grafana-87bd9dd84-nnl5b to minikube
22m                 Normal    ScalingReplicaSet                   Deployment/prometheus-operator-kube-state-metrics                  Scaled up replica set prometheus-operator-kube-state-metrics-7d47f9d455 to 1
22m                 Normal    Scheduled                           Pod/prometheus-operator-prometheus-node-exporter-4mvrm             Successfully assigned default/prometheus-operator-prometheus-node-exporter-4mvrm to minikube
22m                 Normal    Pulling                             Pod/prometheus-operator-prometheus-node-exporter-4mvrm             Pulling image "quay.io/prometheus/node-exporter:v1.8.2"
22m                 Normal    SuccessfulCreate                    DaemonSet/prometheus-operator-prometheus-node-exporter             Created pod: prometheus-operator-prometheus-node-exporter-4mvrm
22m                 Normal    ScalingReplicaSet                   Deployment/prometheus-operator-grafana                             Scaled up replica set prometheus-operator-grafana-87bd9dd84 to 1
22m                 Normal    Scheduled                           Pod/prometheus-operator-kube-p-operator-75cb64c98c-kx4zq           Successfully assigned default/prometheus-operator-kube-p-operator-75cb64c98c-kx4zq to minikube
22m                 Normal    SuccessfulCreate                    ReplicaSet/prometheus-operator-grafana-87bd9dd84                   Created pod: prometheus-operator-grafana-87bd9dd84-nnl5b
22m                 Normal    SuccessfulCreate                    ReplicaSet/prometheus-operator-kube-state-metrics-7d47f9d455       Created pod: prometheus-operator-kube-state-metrics-7d47f9d455-jrm7l
22m                 Normal    ScalingReplicaSet                   Deployment/prometheus-operator-kube-p-operator                     Scaled up replica set prometheus-operator-kube-p-operator-75cb64c98c to 1
22m                 Normal    SuccessfulCreate                    ReplicaSet/prometheus-operator-kube-p-operator-75cb64c98c          Created pod: prometheus-operator-kube-p-operator-75cb64c98c-kx4zq
22m                 Warning   FailedMount                         Pod/prometheus-operator-kube-p-operator-75cb64c98c-kx4zq           MountVolume.SetUp failed for volume "tls-secret" : failed to sync secret cache: timed out waiting for the condition
22m                 Warning   FailedMount                         Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    MountVolume.SetUp failed for volume "config" : failed to sync configmap cache: timed out waiting for the condition
22m                 Normal    Pulling                             Pod/prometheus-operator-kube-state-metrics-7d47f9d455-jrm7l        Pulling image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.14.0"
22m                 Normal    SuccessfulCreate                    Job/prometheus-operator-kube-p-admission-patch                     Created pod: prometheus-operator-kube-p-admission-patch-mlck5
22m                 Normal    Scheduled                           Pod/prometheus-operator-kube-p-admission-patch-mlck5               Successfully assigned default/prometheus-operator-kube-p-admission-patch-mlck5 to minikube
22m                 Normal    Pulled                              Pod/prometheus-operator-kube-p-admission-patch-mlck5               Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v20221220-controller-v1.5.1-58-g787ea74b6" already present on machine
22m                 Normal    Pulling                             Pod/prometheus-operator-kube-p-operator-75cb64c98c-kx4zq           Pulling image "quay.io/prometheus-operator/prometheus-operator:v0.78.1"
22m                 Normal    Created                             Pod/prometheus-operator-kube-p-admission-patch-mlck5               Created container patch
22m                 Normal    Started                             Pod/prometheus-operator-kube-p-admission-patch-mlck5               Started container patch
22m                 Normal    Pulling                             Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Pulling image "quay.io/kiwigrid/k8s-sidecar:1.28.0"
21m                 Normal    Completed                           Job/prometheus-operator-kube-p-admission-patch                     Job completed
21m                 Normal    Created                             Pod/prometheus-operator-prometheus-node-exporter-4mvrm             Created container node-exporter
21m                 Normal    Pulled                              Pod/prometheus-operator-prometheus-node-exporter-4mvrm             Successfully pulled image "quay.io/prometheus/node-exporter:v1.8.2" in 10.373s (10.373s including waiting). Image size: 23274918 bytes.
21m                 Normal    Started                             Pod/prometheus-operator-prometheus-node-exporter-4mvrm             Started container node-exporter
21m                 Normal    Pulled                              Pod/prometheus-operator-kube-state-metrics-7d47f9d455-jrm7l        Successfully pulled image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.14.0" in 17.803s (27.576s including waiting). Image size: 51212837 bytes.
21m                 Normal    Created                             Pod/prometheus-operator-kube-state-metrics-7d47f9d455-jrm7l        Created container kube-state-metrics
21m                 Normal    Started                             Pod/prometheus-operator-kube-state-metrics-7d47f9d455-jrm7l        Started container kube-state-metrics
21m                 Normal    Pulled                              Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Successfully pulled image "quay.io/kiwigrid/k8s-sidecar:1.28.0" in 16.794s (42.615s including waiting). Image size: 80553014 bytes.
21m                 Normal    Created                             Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Created container grafana-sc-dashboard
21m                 Normal    Started                             Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Started container grafana-sc-dashboard
21m                 Normal    Pulling                             Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Pulling image "docker.io/grafana/grafana:11.3.0"
21m                 Normal    Started                             Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Started container grafana-sc-datasources
21m                 Normal    Created                             Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Created container grafana-sc-datasources
21m                 Normal    Pulled                              Pod/prometheus-operator-grafana-87bd9dd84-nnl5b                    Container image "quay.io/kiwigrid/k8s-sidecar:1.28.0" already present on machine
21m                 Normal    Pulled                              Pod/prometheus-operator-kube-p-operator-75cb64c98c-kx4zq           Successfully pulled image "quay.io/prometheus-operator/prometheus-operator:v0.78.1" in 14.721s (57.197s including waiting). Image size: 64587265 bytes.
21m                 Normal    Started                             Pod/prometheus-operator-kube-p-operator-75cb64c98c-kx4zq           Started container kube-prometheus-stack
21m                 Normal    Created                             Pod/prometheus-operator-kube-p-operator-75cb64c98c-kx4zq           Created container kube-prometheus-stack
21m                 Normal    SuccessfulCreate                    StatefulSet/alertmanager-prometheus-operator-kube-p-alertmanager   create Pod alertmanager-prometheus-operator-kube-p-alertmanager-0 in StatefulSet alertmanager-prometheus-operator-kube-p-alertmanager successful
21m                 Normal    Scheduled                           Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Successfully assigned default/alertmanager-prometheus-operator-kube-p-alertmanager-0 to minikube
21m                 Normal    SuccessfulCreate                    StatefulSet/prometheus-prometheus-operator-kube-p-prometheus       create Pod prometheus-prometheus-operator-kube-p-prometheus-0 in StatefulSet prometheus-prometheus-operator-kube-p-prometheus successful
21m                 Normal    Scheduled                           Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Successfully assigned default/prometheus-prometheus-operator-kube-p-prometheus-0 to minikube
21m                 Normal    Pulling                             Pod/prometheus-prometheus-operator-kube-p-prometheus-0             Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.78.1"
21m                 Normal    Pulling                             Pod/alertmanager-prometheus-operator-kube-p-alertmanager-0         Pulling image "quay.io/prometheus-operator/prometheus-config-reloader:v0.78.1"
20m                 Normal    Scheduled                           Pod/scaletestapp-deployment-8dc9df94d-zp5s9                        Successfully assigned default/scaletestapp-deployment-8dc9df94d-zp5s9 to minikube
